SPRAT ID,Scientific Name,Common Name,URL,Percentage of the species modelled likely and known distribution within fire affected areas,Type,EPBC Act listed Threatened Status,EPBC Act listed Migratory Status,Range states and territories
1182,Hoplocephalus bungaroides,Broad-headed Snake,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1182,50 to <80%,Reptile,Vulnerable,,NSW
4881,Lambertia fairallii,Fairall's Honeysuckle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4881,50 to <80%,Plant,Endangered,,WA
20311,Lasiopetalum joyceae,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20311,50 to <80%,Plant,Vulnerable,,NSW
14417,Leucopogon confertus,Torrington Beard-heath,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14417,50 to <80%,Plant,Endangered,,NSW
21609,Leucopogon gnaphalioides,Stirling Range Beard Heath,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21609,50 to <80%,Plant,Endangered,,WA
64733,Litoria littlejohni,"Littlejohn's Tree Frog, Heath Frog",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64733,50 to <80%,Frog,Vulnerable,,"NSW, Vic"
26170,Maccullochella ikei,"Clarence River Cod, Eastern Freshwater Cod",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26170,50 to <80%,Fish,Endangered,,NSW
86881,Melichrus sp. Gibberagee (Benwell 97239),Narrow-leaf Melichrus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86881,50 to <80%,Plant,Endangered,,NSW
82048,Melichrus sp. Newfoundland State Forest (P.Gilmour 7852),Hairy Melichrus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82048,50 to <80%,Plant,Endangered,,NSW
1942,Mixophyes balbus,"Stuttering Frog, Southern Barred Frog (in Victoria)",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1942,50 to <80%,Frog,Vulnerable,,"NSW, Vic"
64937,Nematolepis squamea subsp. coriacea,Harsh Nematolepis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64937,50 to <80%,Plant,Vulnerable,,Vic
2083,Olearia flocktoniae,Dorrigo Daisy-bush,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2083,50 to <80%,Plant,Endangered,,NSW
7232,Persoonia acerosa,Needle Geebung,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7232,50 to <80%,Plant,Vulnerable,,NSW
16845,Pomaderris brunnea,Rufous Pomaderris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16845,50 to <80%,Plant,Vulnerable,,"NSW, Vic"
9597,Pomaderris sericea,Bent Pomaderris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9597,50 to <80%,Plant,Vulnerable,,"NSW, Vic"
