DOY,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
228,62630,43837,66852,53301,58632,39059,48953,90622,19472,116258,119616,43047,46027,33296,42050,37020,55103,
229,62708,43867,66925,53354,58670,39059,48954,90630,19485,116332,119657,43084,46035,33343,42090,37071,55424,
230,62748,43912,67091,53402,58691,39069,48957,90646,19497,116376,119680,43136,46056,33380,42155,37117,55528,
231,62776,43932,67218,53420,58725,39073,48967,90647,19544,116459,119686,43167,46072,33462,42205,37143,55609,
232,62880,43957,67325,53460,58731,39080,48973,90647,19583,116757,119704,43188,46093,33512,42269,37183,55757,
233,62957,43985,67459,53481,58739,39085,48979,90648,19671,116994,119705,43194,46098,33568,42338,37212,55880,
234,63035,43997,67550,53516,58793,39096,48988,90653,19717,117398,119709,43195,46100,33589,42416,37255,56053,
235,63057,44030,67589,53610,58843,39111,49063,90665,19767,117587,119715,43200,46108,33597,42418,37277,56191,
236,63090,44047,67637,53644,58883,39131,49085,90684,19833,117670,119728,43207,46114,33603,42425,37307,56424,
237,63107,44061,67704,53742,58921,39153,49112,90711,19865,117690,119839,43216,46164,33610,42440,37330,56513,
238,63116,44067,67772,53793,58966,39174,49123,90716,19991,117700,119874,43227,46179,33633,42454,37339,56578,
239,63122,44106,67864,53887,58994,39197,49131,90735,20089,117704,119928,43243,46202,33657,42469,37349,56622,
240,63126,44111,67961,53951,59059,39197,49147,90739,20174,117706,119984,43250,46238,33682,42524,37367,56654,
241,63156,44127,68041,53973,59121,39201,49185,90750,20222,117712,120006,43265,46252,33738,42581,37384,56708,
242,63173,44175,68173,53995,59192,39201,49215,90757,20307,117712,120032,43282,46276,33770,42586,37397,56762,
243,63188,44205,68218,54003,59253,39212,49249,90757,20394,117728,120033,43314,46310,33792,42608,37448,56788,
244,63200,44221,68372,54026,59313,39216,49275,90757,20502,117832,120037,43341,46332,33816,42616,37477,56822,
245,63238,44238,68554,54033,59374,39221,49283,90757,20522,117846,120038,43354,46342,33835,42652,37516,56837,
246,63298,44295,68708,54045,59408,39221,49311,90757,20532,117859,120062,43359,46358,33878,42678,37523,56873,
247,63391,44311,68828,54065,59491,39231,49347,90758,20532,117871,120087,43368,46375,33926,42695,37533,56897,
248,63461,44346,68918,54069,59545,39250,49355,90763,20532,117879,120091,43455,46419,33926,42702,37537,56964,
249,63517,44353,69002,54080,59583,39263,49381,90763,20537,117889,120094,43490,46443,33932,42705,37540,57038,
250,63588,44357,69026,54095,59598,39291,49432,90767,20539,117907,120104,43576,46461,33938,42732,37541,57101,
